	log_likelihood
457	303.6228
458	297.71466
459	277.75433
460	315.201
461	318.0739
462	303.1709
463	298.404
464	300.87933
465	307.9138
466	295.86142
467	213.6608
468	237.74496
469	279.72864
470	326.2055
471	308.34406
472	326.15958
473	299.56464
474	317.9007
475	275.93234
476	304.18402
477	342.5207
478	282.99847
479	320.5258
480	314.11404
481	314.8027
482	317.14154
483	309.5175
484	280.17548
485	329.49533
486	305.39813
487	304.44275
488	311.06363
489	321.41858
490	308.71378
491	273.2028
492	305.62744
493	302.15836
494	267.98862
495	240.8182
496	287.72272
497	262.08646
498	303.8388
499	288.3042
500	195.38109
501	266.74365
502	313.80035
503	314.12604
504	319.6309
505	320.65894
506	293.57098
507	224.63179
508	315.98706
509	317.11835
510	288.26392
511	294.43427
512	321.07095
513	318.94962
514	316.25568
515	272.36166
516	289.24258
517	321.1763
518	289.079
519	321.5262
520	258.31067
521	296.16937
522	307.90686
523	313.534
524	303.79037
525	296.06738
526	306.7975
527	292.65076
528	313.85345
529	310.36032
530	311.83002
531	307.98874
532	328.56445
533	280.86145
534	260.29367
535	247.12863
536	328.0079
537	217.31172
538	329.39087
539	309.8727
540	299.68036
541	318.45166
542	313.15765
543	209.41916
544	300.89572
545	223.90762
546	301.49933
547	201.49948
548	330.49094
549	319.23267
550	215.514
551	293.45975
552	303.8166
553	269.14035
554	283.2265
555	281.66956
556	316.931
557	310.66656
558	277.17657
559	241.27107
560	294.3155
561	224.77803
562	278.57327
563	315.64764
564	295.26715
565	320.27362
566	330.42258
567	327.56317
568	322.40585
569	185.2032
570	306.78207
571	328.28906
572	299.58157
573	287.60675
574	282.32486
575	309.60782
576	224.49141
577	291.58453
578	297.7739
579	276.7895
580	287.83194
581	267.85336
582	302.40405
583	321.16223
584	309.27304
585	290.70078
586	299.2137
587	292.05005
588	313.6745
589	292.71274
590	314.24075
591	318.20602
592	304.5158
593	287.34726
594	312.0744
595	267.83408
596	313.74445
597	304.94678
598	303.48184
599	323.33246
600	268.53897
601	276.37668
602	317.68796
603	302.36444
604	294.30923
605	311.65494
606	272.89673
607	296.1657
608	285.47943
609	311.93738
610	337.83142
611	305.3604
612	305.90216
613	209.07593
614	304.6318
615	333.28204
616	260.38007
617	276.0529
618	312.2302
619	296.64136
620	295.7912
621	311.3708
622	277.95508
623	313.74112
624	284.78943
625	316.88492
626	306.87726
627	226.38208
628	324.9482
629	289.2155
630	316.51938
631	286.6205
632	317.36578
633	313.64926
634	302.8537
635	201.30786
636	280.96344
637	305.3274
638	322.02448
639	293.95856
640	254.99931
641	218.3962
642	316.11606
643	328.4849
644	236.44815
645	306.43695
646	315.77676
647	325.0672
648	226.5903
649	319.15384
650	270.75336
651	340.14304
652	236.56741
653	318.83496
654	222.10898
655	328.5865
656	263.12646
657	306.22647
658	329.7483
659	305.19293
660	316.9278
661	325.02762
662	289.6347
663	170.33968
664	308.48483
665	310.19553
666	309.2938
667	321.6813
668	279.95215
669	220.88455
670	317.5762
671	266.11694
672	299.021
673	322.34546
674	290.68637
675	297.67505
676	297.2444
677	328.24786
678	320.06168
679	323.48682
680	289.20813
681	324.56213
682	233.79507
683	301.1345
684	309.36258
685	200.3552
686	310.63748
687	306.39734
688	288.0555
689	258.34503
690	256.24765
691	262.14282
692	279.07266
693	289.02972
694	258.78998
695	292.48676
696	289.92804
697	314.6689
698	312.31696
699	295.2382
700	290.3281
701	298.8209
702	288.50897
703	308.6335
704	326.64462
705	316.03693
706	293.3558
707	298.51657
708	251.17021
709	305.38266
710	321.2825
711	303.77304
712	314.9963
713	334.7165
714	301.82684
715	290.2548
716	299.34766
717	313.9831
718	282.89053
719	313.41934
720	316.07605
721	320.68842
722	309.32407
723	275.4232
724	192.97586
725	241.26802
726	326.67242
727	278.8321
728	318.15454
729	328.98267
730	322.8682
731	240.03511
732	324.72723
733	327.21747
734	231.68001
735	254.72794
736	295.74518
737	291.46518
738	299.4819
739	326.39664
740	289.5412
741	271.25595
742	288.6319
743	303.86594
744	324.13687
745	293.3412
746	287.71036
747	327.0302
748	331.5098
749	323.9729
750	308.60907
751	253.6188
752	335.01703
753	246.05551
754	311.2591
755	248.35782
756	319.9518
757	306.89117
758	299.3408
759	344.02817
760	299.13113
761	316.05377
