	log_likelihood
454	21.821598
455	20.915083
456	19.537786
457	20.985817
458	24.063057
459	21.923498
460	23.33636
461	24.39793
462	22.539068
463	25.63152
464	15.604879
465	19.500141
466	13.865702
467	15.3044615
468	20.823984
469	25.77074
470	23.18536
471	26.168427
472	20.289669
473	15.928187
474	13.8350525
475	23.77056
476	17.387957
477	21.90336
478	18.268028
479	24.910475
480	20.54233
481	18.90957
482	19.90204
483	19.285704
484	22.96751
485	24.99021
486	24.280386
487	19.92899
488	17.112316
489	13.440033
490	19.18019
491	17.932564
492	28.666515
493	25.81387
494	20.876394
495	27.233189
496	31.598032
497	31.287903
498	30.87293
499	31.7436
500	15.60552
501	16.865097
502	14.686046
503	16.832808
504	17.25919
