	log_likelihood
454	18.785086
455	17.997442
456	18.435106
457	25.080526
458	18.359182
459	22.785725
460	24.709217
461	21.875792
462	26.584095
463	17.051107
464	17.377514
465	14.691828
466	17.035267
467	21.86752
468	26.017282
469	24.325428
470	26.139252
471	20.96207
472	16.643763
473	15.275213
474	23.114965
475	18.101162
476	22.07444
477	20.540432
478	27.316198
479	22.749249
480	20.67261
481	22.338596
482	20.16327
483	23.994293
484	25.837519
485	26.370026
486	18.660654
487	14.24856
488	9.527161
489	21.134653
490	15.547315
491	28.171322
492	26.116642
493	9.970354
494	24.16957
495	29.65866
496	29.610355
497	28.385767
498	30.002548
499	20.392588
500	24.071213
501	23.588207
502	23.312881
503	24.311659
504	24.165627
505	22.77564
506	22.698738
507	21.243317
508	12.926435
509	17.636993
510	13.922038
511	20.264828
512	21.845966
513	20.056204
514	17.593359
515	22.862204
516	23.198755
517	24.088575
518	26.151285
519	11.539103
520	26.27795
521	26.563868
522	25.962006
523	14.687872
524	22.849848
525	23.166042
526	19.527153
527	22.902905
528	24.305025
529	25.714489
530	25.869793
531	24.786638
532	26.995035
533	26.884165
534	27.216223
535	27.790699
536	28.141272
537	22.098377
538	16.206593
539	23.795399
540	26.490753
541	26.975351
542	23.966572
543	13.778709
544	18.174118
545	21.208654
546	18.341467
547	17.983631
548	22.651937
549	23.668797
550	19.203434
551	25.278019
552	21.029758
553	25.759909
554	27.077396
555	27.281979
556	18.856117
557	23.410856
558	27.396389
559	25.165398
560	23.579235
561	23.138931
562	27.69011
563	20.736395
564	18.822435
565	26.849552
566	19.26562
567	26.006002
568	27.426311
569	25.438873
570	24.285969
571	16.868832
572	20.585342
573	17.368774
574	19.7886
575	25.257687
576	24.402359
577	24.203
578	20.196789
579	20.38995
580	19.572905
581	23.980183
582	19.19865
583	25.244352
584	23.51785
585	25.041296
586	22.121265
587	21.301805
588	23.17835
589	20.182774
590	23.259075
591	26.263836
592	23.45976
